Date,PortfolioValue,Positions
2016-08-01,14506766.3494984,1
2016-08-02,14521979.4094984,1
2016-08-03,14369166.6094984,1
2016-08-04,14360161.569498401,1
2016-08-05,14557522.0294984,1
2016-08-08,14628539.0494984,1
2016-08-09,14547016.149498401,1
2016-08-10,14357955.7894984,1
2016-08-11,14421286.6894984,1
2016-08-12,14515043.7094984,1
2016-08-16,14509654.329498399,1
2016-08-17,14467494.3694984,1
2016-08-18,14546106.5494984,1
2016-08-19,14532030.4894984,1
2016-08-22,14490279.8494984,1
2016-08-23,14484708.5494984,1
2016-08-24,14524549.0294984,1
2016-08-25,14418466.9294984,1
2016-08-26,14386744.6294984,1
2016-08-29,14395454.0494984,1
2016-08-30,14604229.9894984,1
2016-08-31,14693848.329498399,1
2016-09-01,14675929.2094984,1
2016-09-02,14723956.089498399,1
2016-09-06,14887161.069498401,1
2016-09-07,14805274.329498399,1
2016-09-08,14892300.309498401,1
2016-09-09,14731869.6094984,1
2016-09-12,14508176.229498401,1
2016-09-14,14534236.2694984,1
2016-09-15,14536783.149498401,1
2016-09-16,14610915.5494984,1
2016-09-19,14650869.729498401,1
2016-09-20,14578238.169498399,1
2016-09-21,14562638.5294984,1
2016-09-22,14703694.749498399,1
2016-09-23,14667333.4894984,1
2016-09-26,14516362.6294984,1
2016-09-27,14515339.329498399,1
2016-09-28,14543491.4494984,1
2016-09-29,14294829.5494984,1
2016-09-30,14338808.7094984,1
2016-10-03,14577237.6094984,1
2016-10-04,14623240.6294984,1
2016-10-05,14613507.9094984,1
2016-10-06,14574667.9894984,1
2016-10-07,14511359.829498399,1
2016-10-10,14546925.1894984,1
2016-10-13,14385766.809498401,1
2016-10-14,14376352.4494984,1
2016-10-17,14217286.149498401,1
2016-10-18,14406096.3694984,1
2016-10-19,14396659.2694984,1
2016-10-20,14383561.0294984,1
2016-10-21,14362935.8494984,1
2016-10-24,14332691.649498401,1
2016-10-25,14297558.3494984,1
2016-10-26,14279457.309498401,1
2016-10-27,14206530.1294984,1
2016-10-28,14282458.9894984,1
2016-10-30,14293351.4494984,1
2016-11-01,14270770.6294984,1
2016-11-02,14121528.0094984,1
2016-11-03,14073069.069498401,1
2016-11-04,14012694.3694984,1
2016-11-07,14054490.4894984,1
2016-11-08,14092329.8494984,1
2016-11-09,13837027.8694984,1
2016-11-10,13854492.1894984,1
2016-11-11,13483693.749498399,1
2016-11-15,13107915.249498399,1
2016-11-16,13166311.569498401,1
2016-11-17,13088904.6094984,1
2016-11-18,13127971.9294984,1
2016-11-21,12915807.729498401,1
2016-11-22,13061957.7094984,1
2016-11-23,13130132.229498401,1
2016-11-24,13092270.1294984,1
2016-11-25,13329357.3694984,1
2016-11-28,13376338.2094984,1
2016-11-29,13432847.1094984,1
2016-11-30,13556188.8694984,1
2016-12-01,13500498.6094984,1
2016-12-02,13339840.5094984,1
2016-12-05,13426821.0094984,1
2016-12-06,13429276.9294984,1
2016-12-07,13368856.749498399,1
2016-12-08,13581907.809498401,1
2016-12-09,13578928.8694984,1
2016-12-12,13412312.889498401,1
2016-12-13,13465774.6294984,1
2016-12-14,13395007.749498399,1
2016-12-15,13348777.329498399,1
2016-12-16,13336838.829498399,1
2016-12-19,13265867.2894984,1
2016-12-20,13237828.8694984,1
2016-12-21,13208062.2094984,1
2016-12-22,13078398.729498401,1
2016-12-23,13072577.2894984,1
2016-12-26,12939684.729498401,1
2016-12-27,13109325.1294984,1
2016-12-28,13139592.069498401,1
2016-12-29,13250426.829498399,1
2016-12-30,13400374.389498401,1
