Date,PortfolioValue,Positions
2013-05-17,6555988.546704399,4
2013-05-20,6507800.356704399,4
2013-05-21,6471438.6267044,4
2013-05-22,6477472.0967044,4
2013-05-23,6407021.276704401,4
2013-05-24,6416056.076704401,4
2013-05-27,6517736.1967044,4
2013-05-28,6558042.0067044,4
2013-05-29,6588277.186704401,4
2013-05-30,6615868.856704399,4
2013-05-31,6545667.1167044,4
2013-06-03,6494759.0567044,4
2013-06-04,6519537.9467044,4
2013-06-05,6517185.3767043995,4
2013-06-06,6485157.6067044,4
2013-06-07,6464059.536704401,4
2013-06-10,6451677.096704399,4
2013-06-11,6388845.7067044,4
2013-06-12,6344740.6967044,4
2013-06-13,6262560.3267044,4
2013-06-14,6343814.106704399,4
2013-06-17,6389413.9067044,4
2013-06-18,6381502.476704399,4
2013-06-19,6386487.8667044,4
2013-06-20,6267688.9467044,4
2013-06-21,6247511.6667044,4
2013-06-24,6154093.796704399,4
2013-06-25,6120997.716704401,4
2013-06-26,6134621.5967044,4
2013-06-27,6211901.896704399,4
2013-06-28,6344516.4567044005,4
2013-07-01,6409760.7167044,4
2013-07-02,6400686.0067044,4
2013-07-03,6345629.1567044,4
2013-07-04,6413969.176704399,4
2013-07-05,6437550.7967044,4
2013-07-08,6412958.5067044,4
2013-07-09,6461423.9967044,4
2013-07-10,6435124.896704399,4
2013-07-11,6508469.866704401,4
2013-07-12,6546655.036704401,4
2013-07-15,6594368.7467044,4
2013-07-16,6579751.1867044,4
2013-07-17,6636620.346704399,4
2013-07-18,6695032.0667044,4
2013-07-19,6694081.7367044,4
2013-07-22,6688812.366704401,4
2013-07-23,6708864.886704399,4
2013-07-24,6668189.3667044,4
2013-07-25,6586618.4367044,4
2013-07-26,6564251.616704401,4
2013-07-29,6496551.0667044,4
2013-07-30,6379916.5267044,4
2013-07-31,6355980.1367044,4
2013-08-01,6329515.306704401,4
2013-08-02,6279680.226704399,4
2013-08-05,6264457.576704401,4
2013-08-06,6124950.2567044,4
2013-08-07,6078838.4767044,4
2013-08-08,6116107.636704399,4
2013-08-12,6223275.6467044,4
2013-08-13,6314329.7667044,4
2013-08-14,6363723.8367044,4
2013-08-16,6193795.2067044,4
2013-08-19,6073014.4067044,4
2013-08-20,6011133.046704399,4
2013-08-21,5917384.4967044005,4
2013-08-22,5982580.1867044,4
2013-08-23,6042862.636704401,4
2013-08-26,6083909.146704399,4
2013-08-27,5939217.9167043995,4
2013-08-28,5910325.8267044,4
2013-08-29,6031410.656704401,4
2013-08-30,6107161.1667044,4
2013-09-02,6179735.7967044,4
2013-09-03,6020946.506704399,4
2013-09-04,6121615.826704401,4
2013-09-05,6200618.0467044,4
2013-09-06,6244941.616704399,4
2013-09-10,6446616.116704401,4
2013-09-11,6470659.116704401,4
2013-09-12,6424213.0567044,4
2013-09-13,6422869.7967044,4
2013-09-16,6401103.7467044,4
2013-09-17,6405944.4867044,4
2013-09-18,6450948.4267044,4
2013-09-19,6589680.926704401,4
2013-09-20,6552702.8967044,4
2013-09-23,6493840.4567044,4
2013-09-24,6515238.4267044,4
2013-09-25,6516697.806704399,4
2013-09-26,6521294.3667044,4
2013-09-27,6523791.066704401,4
2013-09-30,6492024.016704401,4
2013-10-01,6509220.846704399,4
2013-10-03,6601857.896704399,4
2013-10-04,6610902.426704401,4
2013-10-07,6639572.1967044,4
2013-10-08,6641681.6467044,4
2013-10-09,6711018.506704399,4
2013-10-10,6738616.786704401,4
2013-10-11,6743381.006704401,4
2013-10-14,6756799.516704401,4
2013-10-15,6731956.4167044,4
2013-10-17,6691552.9367044,4
2013-10-18,6764124.596704399,4
2013-10-21,6773618.3767043995,4
2013-10-22,6796718.9267044,4
2013-10-23,6772537.476704401,4
2013-10-24,6732669.4567044,4
2013-10-25,6721066.8267044,4
2013-10-28,6656682.476704399,4
2013-10-29,6744692.096704399,4
2013-10-30,6786877.156704401,4
2013-10-31,6807710.6267043995,4
2013-11-01,6813634.926704399,4
2013-11-03,6843655.436704401,4
2013-11-05,6786355.5167044,4
2013-11-06,6800389.6567044,4
2013-11-07,6781450.5067044,4
2013-11-08,6759438.1467044,4
2013-11-11,6719201.2567044,4
2013-11-12,6697732.6667044,4
2013-11-13,6670065.6667043995,4
2013-11-14,6684982.5767044,4
2013-11-18,6752441.4167043995,4
2013-11-19,6746506.486704401,4
2013-11-20,6692211.7467044,4
2013-11-21,6605741.5067044,4
2013-11-22,6598022.2167044,4
2013-11-25,6666506.756704401,4
2013-11-26,6645618.9067044,4
2013-11-27,6646034.6267043995,4
2013-11-28,6673845.8867044,4
2013-11-29,6735155.8167044,4
2013-12-02,6787870.9967044,4
2013-12-03,6779352.1467044,4
2013-12-04,6742468.056704399,4
2013-12-05,6734857.356704399,4
2013-12-06,6766650.1167044,4
2013-12-09,6802702.2867044,4
2013-12-10,6809426.5067044,4
2013-12-11,6807409.7667044,4
2013-12-12,6757519.466704399,4
2013-12-13,6698668.1167044,4
2013-12-16,6723844.6967044,4
2013-12-17,6735469.566704399,4
2013-12-18,6814572.0067044,4
2013-12-19,6819873.2467044005,4
2013-12-20,6902663.326704399,4
2013-12-23,6914259.4767044,4
2013-12-24,6924811.836704399,4
2013-12-26,6912752.8767043995,4
2013-12-27,6951011.896704399,4
2013-12-30,6942474.6667043995,4
2013-12-31,6966022.686704399,4
2014-01-01,6987545.5867044,4
2014-01-02,6905893.2967044,4
2014-01-03,6940417.5967044,4
2014-01-06,6940983.2467044,4
2014-01-07,6916358.7467044005,4
2014-01-08,6953895.2567044,4
2014-01-09,6950436.0767044,4
2014-01-10,6957994.8167044,4
2014-01-13,6981054.3067044,4
2014-01-14,6960327.3067044,4
2014-01-15,6993631.6367044,4
2014-01-16,6988947.536704401,4
2014-01-17,6928210.006704399,4
2014-01-20,6994625.6267044,4
2014-01-21,6971760.4267044,4
2014-01-22,6991414.476704401,4
2014-01-23,6984637.146704399,4
2014-01-24,6945002.336704399,4
2014-01-27,6858690.0367044,4
2014-01-28,6846286.6967044,4
2014-01-29,6864728.2867044,4
2014-01-30,6815401.8367044,4
2014-01-31,6862934.2267044,4
2014-02-03,6842953.4367044,4
2014-02-04,6834477.966704401,4
2014-02-05,6862336.3167044,4
2014-02-06,6885648.336704399,4
2014-02-07,6918951.0467044,4
2014-02-10,6915639.7167044,4
2014-02-11,6920753.1467044,4
2014-02-12,6928169.5067044,4
2014-02-13,6858633.4967044,4
2014-02-14,6879054.2067044005,4
2014-02-17,6883804.566704401,4
2014-02-18,6897408.4667044,4
2014-02-19,6926921.6867044,4
2014-02-20,6902706.0367044,4
2014-02-21,6956748.6667044,4
2014-02-24,6970762.796704399,4
2014-02-25,6996298.5467044,4
2014-02-26,7026244.5867044,4
2014-02-28,7079862.2767044,4
2014-03-03,7030423.466704399,4
